id,imdb_id,name,popularity,image_resource
80523,nm0646987,Ron Oliver,6.584,classpath:/static/images/celebs/img_80523.jpg
964792,nm2760664,Jacob Anderson,6.582,classpath:/static/images/celebs/img_964792.jpg
1251240,nm3379397,Haruna Kawaguchi,6.581,classpath:/static/images/celebs/img_1251240.jpg
81129,nm1112874,Chris Martin,6.581,classpath:/static/images/celebs/img_81129.jpg
1007561,nm0148061,Michael Forest,6.58,classpath:/static/images/celebs/img_1007561.jpg
4570,nm0358922,Emily Hampshire,6.58,classpath:/static/images/celebs/img_4570.jpg
1897341,nm9275005,Jiang Peiyao,6.58,classpath:/static/images/celebs/img_1897341.jpg
56370,nm1128037,Ruben Östlund,6.58,classpath:/static/images/celebs/img_56370.jpg
57389,nm0682399,Justin Pierce,6.579,classpath:/static/images/celebs/img_57389.jpg
2270591,nm6379323,Frida Argento,6.579,classpath:/static/images/celebs/img_2270591.jpg
16417,nm0293659,Paul Frees,6.577,classpath:/static/images/celebs/img_16417.jpg
93336,nm2411644,Evin Ahmad,6.577,classpath:/static/images/celebs/img_93336.jpg
116229,nm0692207,Linda Porter,6.576,classpath:/static/images/celebs/img_116229.jpg
17199,nm0424819,Corey Johnson,6.576,classpath:/static/images/celebs/img_17199.jpg
1751998,nm7260773,Vilen Babichev,6.576,classpath:/static/images/celebs/img_1751998.jpg
1307322,nm1641063,Jo Han-sun,6.574,classpath:/static/images/celebs/img_1307322.jpg
62649,nm0395203,Russell Hornsby,6.574,classpath:/static/images/celebs/img_62649.jpg
29236,nm1269412,Anna Maxwell Martin,6.573,classpath:/static/images/celebs/img_29236.jpg
62879,nm1357218,Chris Geere,6.573,classpath:/static/images/celebs/img_62879.jpg
1386458,nm2054113,Mahesh Jadu,6.573,classpath:/static/images/celebs/img_1386458.jpg
26292,nm0233562,David Dorfman,6.572,classpath:/static/images/celebs/img_26292.jpg
1309285,nm2116826,Nikki Hsieh,6.572,classpath:/static/images/celebs/img_1309285.jpg
75312,nm0593711,Sasha Mitchell,6.571,classpath:/static/images/celebs/img_75312.jpg
567844,nm2612275,Natalya Rudova,6.571,classpath:/static/images/celebs/img_567844.jpg
13327,nm0202638,Nigel Davenport,6.571,classpath:/static/images/celebs/img_13327.jpg
31715,nm0005439,Azura Skye,6.57,classpath:/static/images/celebs/img_31715.jpg
33706,nm0124703,Paul Butcher,6.57,classpath:/static/images/celebs/img_33706.jpg
1153231,nm1743101,Julia Ragnarsson,6.57,classpath:/static/images/celebs/img_1153231.jpg
6561,nm0348214,Moses Gunn,6.57,classpath:/static/images/celebs/img_6561.jpg
5216,nm0001814,Gus Van Sant,6.57,classpath:/static/images/celebs/img_5216.jpg
37010,nm0803192,Tim Sitarz,6.569,classpath:/static/images/celebs/img_37010.jpg
1524100,nm3880241,Tom Blyth,6.569,classpath:/static/images/celebs/img_1524100.jpg
80175,nm1819990,Jessica Elbaum,6.569,classpath:/static/images/celebs/img_80175.jpg
1819918,nm2312391,John McCrea,6.569,classpath:/static/images/celebs/img_1819918.jpg
35745,nm0006689,Preity Zinta,6.568,classpath:/static/images/celebs/img_35745.jpg
137424,nm1213456,Gia Mantegna,6.568,classpath:/static/images/celebs/img_137424.jpg
586303,nm0871253,Natalia Traven,6.567,classpath:/static/images/celebs/img_586303.jpg
1225592,nm0685308,Jim Pirri,6.567,classpath:/static/images/celebs/img_1225592.jpg
68635,nm0143150,Salvatore Cascio,6.567,classpath:/static/images/celebs/img_68635.jpg
145217,nm0513970,Saúl Lisazo,6.567,classpath:/static/images/celebs/img_145217.jpg
24318,nm0000907,Richard Benjamin,6.566,classpath:/static/images/celebs/img_24318.jpg
2604515,nm3528821,Emma Myers,6.566,classpath:/static/images/celebs/img_2604515.jpg
81481,nm0382718,Darryl Hickman,6.566,classpath:/static/images/celebs/img_81481.jpg
